Company Name,Industry,Symbol
3M India Ltd.,SERVICES,3MINDIA
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG
APL Apollo Tubes Ltd.,METALS,APLAPOLLO
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK
Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS
Adani Green Energy Ltd.,ENERGY,ADANIGREEN
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS
Adani Power Ltd.,ENERGY,ADANIPOWER
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL
Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,ABFRL
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES
Aegis Logistics Ltd.,ENERGY,AEGISCHEM
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD
Alkem Laboratories Ltd.,PHARMA,ALKEM
Allcargo Logistics Ltd.,SERVICES,ALLCARGO
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT
Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL
Atul Ltd.,CHEMICALS,ATUL
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED
Avenue Supermarts Ltd.,CONSUMER GOODS,DMART
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK
BASF India Ltd.,CHEMICALS,BASF
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML
BSE Ltd.,FINANCIAL SERVICES,BSE
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO
Bajaj Consumer Care Ltd.,CONSUMER GOODS,BAJAJCON
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND
Balmer Lawrie & Co. Ltd.,SERVICES,BALMLAWRIE
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA
Bank of India,FINANCIAL SERVICES,BANKINDIA
Bank of Maharashtra.,FINANCIAL SERVICES,MAHABANK
Bata India Ltd.,CONSUMER GOODS,BATAINDIA
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT
Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL
Bharti Airtel Ltd.,TELECOM,BHARTIARTL
Biocon Ltd.,PHARMA,BIOCON
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN
Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS
Blue Dart Express Ltd.,SERVICES,BLUEDART
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC
Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES,BOMDYEING
Bosch Ltd.,AUTOMOBILE,BOSCHLTD
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA
CARE Ratings Ltd.,FINANCIAL SERVICES,CARERATING
CCL Products (I) Ltd.,CONSUMER GOODS,CCL
CESC Ltd.,ENERGY,CESC
CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,CGPOWER
