Ticker,Company,Sector,Market Cap,Exchange,Notes
RELIANCE,Reliance Industries Ltd.,ENERGY,,NSE,
BHARTIARTL,Bharti Airtel Ltd.,TELECOM,,NSE,
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES,,NSE,
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,,NSE,
INFY,Infosys Ltd.,IT,,NSE,
HAL,Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,,NSE,
SBIN,State Bank of India,FINANCIAL SERVICES,,NSE,
ETERNAL,,CONSUMER GOODS,,NSE,
LT,Larsen & Toubro Ltd.,CONSTRUCTION,,NSE,
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,,NSE,
M&M,Mahindra & Mahindra Ltd.,AUTOMOBILE,,NSE,
BOSCHLTD,Bosch Ltd.,AUTOMOBILE,,NSE,
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,,NSE,
TCS,Tata Consultancy Services Ltd.,IT,,NSE,
DLF,DLF Ltd.,CONSTRUCTION,,NSE,
HCLTECH,HCL Technologies Ltd.,IT,,NSE,
ADANIPOWER,Adani Power Ltd.,ENERGY,,NSE,
ITC,ITC Ltd.,CONSUMER GOODS,,NSE,
BEL,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,,NSE,
ADANIENSOL,,ENERGY,,NSE,
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE,,NSE,
SOLARINDS,Solar Industries India Ltd.,CHEMICALS,,NSE,
ONGC,Oil & Natural Gas Corporation Ltd.,ENERGY,,NSE,
DIVISLAB,Divi's Laboratories Ltd.,PHARMA,,NSE,
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,,NSE,
NTPC,NTPC Ltd.,ENERGY,,NSE,
TMPV,,AUTOMOBILE,,NSE,
MAZDOCK,,INDUSTRIAL MANUFACTURING,,NSE,
TECHM,Tech Mahindra Ltd.,IT,,NSE,
COALINDIA,Coal India Ltd.,METALS,,NSE,
TMCV,,AUTOMOBILE,,NSE,
SHRIRAMFIN,,FINANCIAL SERVICES,,NSE,
INDIGO,InterGlobe Aviation Ltd.,SERVICES,,NSE,
PFC,Power Finance Corporation Ltd.,FINANCIAL SERVICES,,NSE,
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,,NSE,
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,,NSE,
NESTLEIND,,CONSUMER GOODS,,NSE,
HINDALCO,Hindalco Industries Ltd.,METALS,,NSE,
VEDL,Vedanta Ltd.,METALS,,NSE,
HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,,NSE,
TATASTEEL,Tata Steel Ltd.,METALS,,NSE,
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,,NSE,
JIOFIN,,FINANCIAL SERVICES,,NSE,
MAXHEALTH,,HEALTHCARE SERVICES,,NSE,
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,,NSE,
ADANIENT,,SERVICES,,NSE,
